,2014,CENTRO DE SAUDE DE TEREZOPOLIS DE GOIAS,Terezópolis de Goiás,NAO,Ampliacao,GO,-16.48687312866661,-49.09718692302704
,2010,ESF N S CONCEIÇÃO,Queimados,NAO,Construcao,RJ,-22.710956249470637,-43.54911804199219
,2014,USF da LIBERDADE,Garanhuns,NAO,Construcao,PE,-8.891109028642017,-36.473998806508234
,2013,ESF SAUDE EM ACAO,Poté,NAO,Construcao,MG,-17.810598061429015,-41.79473876953125
,2013,UNIDADE BASICA DE SAUDE SEDE II E III,Reriutaba,NAO,Construcao,CE,-4.142651827778561,-40.580626130104065
,2013,CENTRO DE SAUDE JARDIM SIMUS SOROCABA,Sorocaba,NAO,Reforma,SP,-23.491902335685857,-47.51312255859375
,2015,UBS CURAÇAO,Manaus,NAO,Construcao,AM,-3.067544591099735,-60.01174059638288
,2013,PSF PARQUE SÃO JOSÉ,Serrana,NAO,Construcao,SP,-21.147593180615946,-47.50711441040039
,2014,PROGRAMA SAUDE DA FAMILIA NORDESTE,Bicas,NAO,Ampliacao,MG,-21.709496923011855,-43.06308406597964
,2013,UBS FAIXA DO CLOVES,Governador Nunes Freire,NAO,Construcao,MA,-2.118162067517901,-45.8704948425293
,2013,ESTRATEGIA SAUDE DA FAMILIA 03 JOAO DE DEUS,Silvânia,NAO,Construcao,GO,-16.655328672067153,-48.60695346266766
,2009,POSTO DE SAUDE ELIENE MANDU DA SILVA FERNANDES,Assaré,NAO,Construcao,CE,-6.765576555530819,-39.71232533454895
,2009,POSTO DE SAUDE TARCISO PINHEIRO TELES,Crato,NAO,Construcao,CE,-7.227574336999115,-39.39499855041504
,2013,UBS MORUMBI,Mandaguari,NAO,Construcao,PR,-23.50935661549542,-51.68089717626572
,2013,USF VI FRANCISCO CANDIDO DA SILVA,Mogeiro,NAO,Construcao,PB,-7.287211732923351,-35.47914505004883
,2013,UNIDADE BÁSICA DE SAÚDE - RUA JOSÉ CARVALHO FILHO - COHAB - SEDE,Jardim,NAO,Construcao,CE,-7.584071321662143,-39.296207427978516
,2010,CSF DE CAIOCA,Sobral,NAO,Construcao,CE,-3.681719160589886,-40.24154394865036
,2013,ESTRATÉGIA SAÚDE DA FAMÍLIA ITAMARATI SEDE,Ponta Porã,NAO,Construcao,MS,-22.194344001621264,-55.588119328022
,2014,UNIDADE DE SAUDE DA FAMILIA DE SAO JOAO DE VICOSA,Venda Nova do Imigrante,NAO,Ampliacao,ES,-20.33669679361901,-41.19093596935272
,2012,POSTO DE SAUDE JOAQUIM CELESTINO BRASIL,Assaré,NAO,Construcao,CE,-6.996156053641646,-40.059647262096405
,2014,UNIDADE DE SAUDE DA FAMILIA DE ALTO CAXIXE,Venda Nova do Imigrante,NAO,Ampliacao,ES,-20.418158345393525,-41.082631051540375
,2013,POSTO DE SAÚDE FAZENDA NOVA,Igarapé do Meio,NAO,Construcao,MA,-3.674716955572779,-45.165258944034576
,2010,CSF NOVO RECANTO,Sobral,SIM,Construcao,CE,-3.662913054134166,-40.33978400373462
,2012,CSF BILHEIRA,Sobral,NAO,Construcao,CE,-4.016115497320536,-40.04125535488129
,2012,CSF DE PATOS,Sobral,NAO,Construcao,CE,-3.759548042952629,-40.03264278173447
,2012,CSF PATRIARCA,Sobral,NAO,Construcao,CE,-3.5927528364117966,-40.273223519325256
,2013,PSF SAGRADA FAMILIA,Dois Vizinhos,NAO,Construcao,PR,-25.757960621592737,-53.06533545255661
,2013,UNIDADE BÁSICA DE SAÚDE DA BARRA DO MANHUAÇU,Aimorés,NAO,Construcao,MG,-19.491521822207385,-41.08667716383934
,2009,CSF DE PADRE LINHARES MANOEL JOVINIANO CUNHA,Massapê,NAO,Construcao,CE,-3.493267109793782,-40.50906479358673
,2010,CENTRO DE SAUDE DA FAMILIA DO MIRIM ANTONIO BISPO FILHO,Massapê,NAO,Construcao,CE,-3.5115042890279357,-40.27997345256807
,2012,UBS DO CAMPO LINDO,Reriutaba,NAO,Construcao,CE,-4.060893483338942,-40.619072914123535
,2013,CENTRO DE SAUDE SENADOR SA,Senador Sá,NAO,Reforma,CE,-3.347550642760893,-40.4707145690918
,2014,UNIDADE BÁSICA DE SAÚDE,Itupiranga,NAO,Construcao,PA,-4.855579444121984,-49.83134239912033
,2010,USF ENFERMEIRA ISABEL BONFIM,Maracanaú,NAO,Construcao,CE,-3.8294858704109904,-38.60677242279053
,2015,NUCLEO INTEGRADO DE SAUDE I ANGULO,Ângulo,NAO,Ampliacao,PR,-23.19670070979571,-51.916751861572266
,2013,ESF DOM BOSCO CAJURU,Cajuru,NAO,Reforma,SP,-21.273383788929877,-47.29303926229477
,2013,ESF CRUZ ALTA CAJURU,Cajuru,NAO,Construcao,SP,-21.285710525155043,-47.311122715473175
,2013,ESF DE LIBERDADE,Feira de Santana,NAO,Construcao,BA,-12.293294501424936,-38.94595384597778
,2013,UNIDADE DE SAUDE ITAICI,Caldas Novas,NAO,Construcao,GO,-17.739835223704937,-48.64240460090514
,2010,UNIDADE BASICA DE SAUDE TRAJANO NOGUEIRA,Barro,SIM,Construcao,CE,-7.1723854666805895,-38.77463465404509
,2012,POSTO DE SAÚDE CUANDÚ,Lavras da Mangabeira,NAO,Construcao,CE,-6.755497647743006,-38.941804468631744
,2012,UNIDADE BASICA DE SAUDE JARDIM RAIMUNDO INACIO,Barro,NAO,Construcao,CE,-7.184353986445189,-38.78791809082031
,2014,UBSF SUBURBANA,Itabaiana,NAO,Construcao,PB,-7.333408957489554,-35.3269594907033
,2013,CONSTRUï¿¿ï¿¿O DE UBS BAIRRO CENTRO,Balsas,NAO,Construcao,MA,-7.5337011004505605,-46.03666305541992
,2013,PSF DE VILA NOVA,Casinhas,NAO,Reforma,PE,-7.75113550137713,-35.726165771484375
,2013,UBS CHï¿¿CARA ALVORADA,Mogi Guaçu,NAO,Construcao,SP,-22.20662674883731,-46.98751151561737
,2010,US2 PAUL DE GRACA ARANHA FRANCISCA TORQUATO QUEDES,Colatina,SIM,Construcao,ES,-19.31605400129376,-40.596349239349365
,2009,UNIDADE BASICA DE SAUDE VIOLETE,Itapipoca,NAO,Construcao,CE,-3.480951792356239,-39.5710614323616
,2013,UNIDADE BASICA DE SAUDE DE JORDANESIA,Cajamar,NAO,Reforma,SP,-23.3359659962043,-46.84383898973465
,2014,USF INDEPENDÊNCIA,Cajamar,NAO,Construcao,SP,-23.353539364714457,-46.87510818243027
,2012,USF SERNAMBY,São Mateus,NAO,Construcao,ES,-18.721751312785667,-39.850599321365394
,2013,UBS JOSE SEVERIANO DE MACEDO,Dormentes,NAO,Construcao,PE,-8.52126812441408,-40.529937744140625
,2013,USF FRANCA,Piritiba,NAO,Construcao,BA,-11.557566680648854,-40.59298574924469
,2010,UBASF CICERO PEREIRA DA ROCHA,Camocim,NAO,Construcao,CE,-2.908043287428998,-40.85787109470368
,2009,ESTRATEGIA SAUDE DA FAMILIA DE CENTRAL,Potengi,NAO,Construcao,CE,-7.092247592045301,-40.032833218574524
,2012,CENTRO DE SAUDE DE LUCELIA,Lucélia,NAO,Reforma,SP,-21.724747221184312,-51.01412549614906
,2013,CONSTRUÇÃO DE UNIDADE BASICA DE SAUDE PORTE I,Milagres,NAO,Construcao,CE,-7.312065846865177,-38.94995301961899
,2013,POSTO DE SAUDE EUCLIDES LUIZ PEREIRA,Portalegre,NAO,Ampliacao,RN,-6.030041041336438,-38.03887501358986
